"chr" "all.intron.nums" "all.rev.intron.nums" "all.intron.starts" "all.intron.stops" "all.atgs"
"1" "1" "1" "5" "3913" "3996" "Parent=AT1G01010.1"
"2" "1" "2" "4" "4276" "4486" "Parent=AT1G01010.1"
"3" "1" "3" "3" "4605" "4706" "Parent=AT1G01010.1"
"4" "1" "4" "2" "5095" "5174" "Parent=AT1G01010.1"
"5" "1" "5" "1" "5326" "5439" "Parent=AT1G01010.1"
"6" "1" "1" "19" "24451" "24542" "Parent=AT1G01040.1"
"7" "1" "2" "18" "24655" "24752" "Parent=AT1G01040.1"
"8" "1" "3" "17" "24962" "25041" "Parent=AT1G01040.1"
"9" "1" "4" "16" "25435" "25524" "Parent=AT1G01040.1"
"10" "1" "5" "15" "25743" "25825" "Parent=AT1G01040.1"
"11" "1" "6" "14" "25997" "26081" "Parent=AT1G01040.1"
"12" "1" "7" "13" "26203" "26292" "Parent=AT1G01040.1"
"13" "1" "8" "12" "26452" "26543" "Parent=AT1G01040.1"
"14" "1" "9" "11" "26776" "26862" "Parent=AT1G01040.1"
"15" "1" "10" "10" "27012" "27099" "Parent=AT1G01040.1"
"16" "1" "11" "9" "27281" "27372" "Parent=AT1G01040.1"
"17" "1" "12" "8" "27533" "27618" "Parent=AT1G01040.1"
"18" "1" "13" "7" "27713" "27803" "Parent=AT1G01040.1"
"19" "1" "14" "6" "28431" "28708" "Parent=AT1G01040.1"
"20" "1" "15" "5" "28805" "28890" "Parent=AT1G01040.1"
"21" "1" "16" "4" "29080" "29160" "Parent=AT1G01040.1"
"22" "1" "17" "3" "30065" "30147" "Parent=AT1G01040.1"
"23" "1" "18" "2" "30311" "30410" "Parent=AT1G01040.1"
"24" "1" "19" "1" "30816" "30902" "Parent=AT1G01040.1"
"25" "1" "1" "2" "53183" "53484" "Parent=AT1G01110.1"
"26" "1" "2" "1" "53624" "53703" "Parent=AT1G01110.1"
"27" "1" "1" "4" "72669" "73087" "Parent=AT1G01160.1"
"28" "1" "2" "3" "73163" "73287" "Parent=AT1G01160.1"
"29" "1" "3" "2" "73395" "73488" "Parent=AT1G01160.1"
"30" "1" "4" "1" "73740" "73822" "Parent=AT1G01160.1"
"31" "1" "1" "2" "89081" "89173" "Parent=AT1G01210.1"
"32" "1" "2" "1" "89263" "89405" "Parent=AT1G01210.1"
"33" "1" "1" "7" "91633" "91743" "Parent=AT1G01220.1"
"34" "1" "2" "6" "92070" "92270" "Parent=AT1G01220.1"
"35" "1" "3" "5" "92501" "92569" "Parent=AT1G01220.1"
"36" "1" "4" "4" "92933" "93045" "Parent=AT1G01220.1"
"37" "1" "5" "3" "93171" "93271" "Parent=AT1G01220.1"
"38" "1" "6" "2" "94281" "94357" "Parent=AT1G01220.1"
"39" "1" "7" "1" "95075" "95160" "Parent=AT1G01220.1"
"40" "1" "1" "1" "96157" "96554" "Parent=AT1G01225.1"
"41" "1" "1" "2" "97805" "98457" "Parent=AT1G01230.1"
"42" "1" "2" "1" "98605" "98908" "Parent=AT1G01230.1"
"43" "1" "1" "1" "100031" "100657" "Parent=AT1G01240.1"
"44" "1" "1" "1" "113195" "113279" "Parent=AT1G01280.1"
"45" "1" "1" "1" "114433" "114619" "Parent=AT1G01290.1"
"46" "1" "1" "3" "136234" "136667" "Parent=AT1G01350.1"
"47" "1" "2" "2" "136816" "136935" "Parent=AT1G01350.1"
