"chr" "all.intron.nums" "all.rev.intron.nums" "all.intron.starts" "all.intron.stops" "all.atgs"
"1" "1" "1" "9" "8571" "8464" "Parent=AT1G01020.1"
"2" "1" "2" "8" "8417" "8325" "Parent=AT1G01020.1"
"3" "1" "3" "7" "8236" "7987" "Parent=AT1G01020.1"
"4" "1" "4" "6" "7942" "7835" "Parent=AT1G01020.1"
"5" "1" "5" "5" "7762" "7649" "Parent=AT1G01020.1"
"6" "1" "6" "4" "7564" "7450" "Parent=AT1G01020.1"
"7" "1" "7" "3" "7384" "7232" "Parent=AT1G01020.1"
"8" "1" "8" "2" "7157" "7069" "Parent=AT1G01020.1"
"9" "1" "9" "1" "6437" "6263" "Parent=AT1G01020.1"
"10" "1" "1" "1" "13335" "13173" "Parent=AT1G01030.1"
"11" "1" "1" "8" "33029" "32670" "Parent=AT1G01050.1"
"12" "1" "2" "7" "32547" "32459" "Parent=AT1G01050.1"
"13" "1" "3" "6" "32431" "32347" "Parent=AT1G01050.1"
"14" "1" "4" "5" "32282" "32195" "Parent=AT1G01050.1"
"15" "1" "5" "4" "32088" "31998" "Parent=AT1G01050.1"
"16" "1" "6" "3" "31933" "31813" "Parent=AT1G01050.1"
"17" "1" "7" "2" "31693" "31602" "Parent=AT1G01050.1"
"18" "1" "8" "1" "31521" "31424" "Parent=AT1G01050.1"
"19" "1" "1" "8" "37569" "37398" "Parent=AT1G01060.1"
"20" "1" "2" "7" "37373" "37203" "Parent=AT1G01060.1"
"21" "1" "3" "6" "37023" "36921" "Parent=AT1G01060.1"
"22" "1" "4" "5" "36810" "36685" "Parent=AT1G01060.1"
"23" "1" "5" "4" "36624" "35963" "Parent=AT1G01060.1"
"24" "1" "6" "3" "35730" "35647" "Parent=AT1G01060.1"
"25" "1" "7" "2" "35567" "35474" "Parent=AT1G01060.1"
"26" "1" "8" "1" "34401" "34327" "Parent=AT1G01060.1"
"27" "1" "1" "5" "40675" "40535" "Parent=AT1G01070.1"
"28" "1" "2" "4" "40473" "40329" "Parent=AT1G01070.1"
"29" "1" "3" "3" "40213" "39814" "Parent=AT1G01070.1"
"30" "1" "4" "2" "39409" "39287" "Parent=AT1G01070.1"
"31" "1" "5" "1" "39136" "39054" "Parent=AT1G01070.1"
"32" "1" "1" "3" "46376" "46145" "Parent=AT1G01080.1"
"33" "1" "2" "2" "46044" "45954" "Parent=AT1G01080.1"
"34" "1" "3" "1" "45646" "45559" "Parent=AT1G01080.1"
"35" "1" "1" "2" "48936" "48852" "Parent=AT1G01090.1"
"36" "1" "2" "1" "48075" "47982" "Parent=AT1G01090.1"
"37" "1" "1" "3" "51064" "50963" "Parent=AT1G01100.1"
"38" "1" "2" "2" "50883" "50631" "Parent=AT1G01100.1"
"39" "1" "3" "1" "50419" "50337" "Parent=AT1G01100.1"
"40" "1" "1" "2" "63557" "62124" "Parent=AT1G01130.1"
"41" "1" "2" "1" "62050" "61949" "Parent=AT1G01130.1"
"42" "1" "1" "13" "67324" "66897" "Parent=AT1G01140.1"
"43" "1" "2" "12" "66835" "66749" "Parent=AT1G01140.1"
"44" "1" "3" "11" "66678" "66557" "Parent=AT1G01140.1"
"45" "1" "4" "10" "66450" "66342" "Parent=AT1G01140.1"
"46" "1" "5" "9" "66262" "66160" "Parent=AT1G01140.1"
"47" "1" "6" "8" "66107" "65864" "Parent=AT1G01140.1"
"48" "1" "7" "7" "65739" "65652" "Parent=AT1G01140.1"
"49" "1" "8" "6" "65563" "65456" "Parent=AT1G01140.1"
"50" "1" "9" "5" "65331" "65217" "Parent=AT1G01140.1"
"51" "1" "10" "4" "65110" "65017" "Parent=AT1G01140.1"
"52" "1" "11" "3" "64901" "64807" "Parent=AT1G01140.1"
"53" "1" "12" "2" "64751" "64656" "Parent=AT1G01140.1"
"54" "1" "13" "1" "64582" "64475" "Parent=AT1G01140.1"
"55" "1" "1" "3" "71942" "71721" "Parent=AT1G01150.1"
"56" "1" "2" "2" "71041" "70968" "Parent=AT1G01150.1"
"57" "1" "3" "1" "70840" "70285" "Parent=AT1G01150.1"
"58" "1" "1" "2" "74661" "74455" "Parent=AT1G01170.1"
"59" "1" "2" "1" "74338" "74250" "Parent=AT1G01170.1"
"60" "1" "1" "1" "83884" "83671" "Parent=AT1G01190.1"
"61" "1" "1" "1" "87880" "87162" "Parent=AT1G01200.1"
"62" "1" "1" "24" "130372" "130149" "Parent=AT1G01320.1"
"63" "1" "2" "23" "130039" "129914" "Parent=AT1G01320.1"
