Chr	start	end	strand
Chr1	15827287	15838845	-
Chr1	13085455	13085593	+
Chr1	11181821	11181959	+
Chr1	6759762	6759900	+
Chr1	29079013	29079151	+
Chr1	5681490	5681628	+
Chr1	19822380	19824568	+
Chr1	3506360	3506498	+
Chr1	20699111	20699248	+
Chr1	5967433	5967570	+
Chr1	19030078	19030213	-
Chr1	16325184	16327367	-
Chr1	12014741	12014878	+
Chr1	12562100	12564283	-
Chr1	12918637	12918772	-
Chr1	19233923	19234058	-
Chr1	15149755	15149893	+
Chr1	14049537	14049673	-
Chr1	11410705	11410726	-
Chr1	20748621	20748758	-
Chr1	13314042	13314155	-
Chr1	21779493	21779632	+
Chr1	19267200	19267310	+
Chr1	19326868	19327005	-
Chr1	7202163	7202263	-
Chr1	9815682	9815773	+
Chr1	16742379	16751122	-
Chr1	15991343	15991480	-
Chr1	11301592	11301728	-
Chr1	19763827	19763965	+
Chr1	19993529	19993664	-
Chr1	27758287	27758423	-
Chr1	7630434	7630573	+
Chr1	5812561	5812700	+
Chr1	20497386	20497522	-
Chr1	12983044	12983179	-
Chr1	18302689	18302776	+
Chr1	8573497	8573632	-
Chr1	30250487	30250620	-
Chr1	18317497	18317566	-
Chr1	16637546	16637681	+
Chr1	13397404	13397539	+
Chr1	13171360	13171380	+
Chr1	6402736	6402869	-
Chr1	8322276	8322411	+
Chr1	14177934	14178066	-
Chr1	20554066	20554102	-
Chr1	24977684	24977818	+
Chr1	7690038	7690172	+
Chr1	12841755	12841890	+
Chr1	2526624	2526756	-
Chr1	19301675	19301809	+
Chr1	16691401	16691533	-
Chr1	25170583	25170717	+
Chr1	24356397	24356536	+
Chr1	23143346	23143481	+
Chr1	17293310	17293444	-
Chr1	15076084	15078266	-
Chr1	15352447	15354854	-
Chr1	18163937	18164074	+
Chr1	14427922	14449178	+
Chr1	9899847	9899984	+
Chr1	21191750	21191886	+
Chr1	25823826	25823960	-
Chr1	7125860	7125994	-
Chr1	12809579	12809650	-
Chr1	15111117	15111251	-
Chr1	9318360	9318496	+
Chr1	697952	698088	+
Chr1	15547275	15549791	+
Chr1	13601553	13601688	+
Chr1	13039450	13039584	-
Chr1	13840025	13840159	-
Chr1	11421959	11422070	-
Chr1	16732011	16732148	-
Chr1	13121287	13121425	-
Chr1	29702604	29702747	+
Chr1	16584101	16586369	+
Chr1	12330654	12330798	+
Chr1	8490641	8492849	+
Chr1	22562536	22562639	+
Chr1	9163143	9163284	-
Chr1	17516123	17516267	+
Chr1	11093758	11093901	+
Chr1	12501186	12503392	+
Chr1	20004936	20005076	-
Chr1	12851056	12851196	-
Chr1	19636320	19636343	-
Chr1	17685223	17685243	+
Chr1	21425429	21425569	-
Chr1	7034889	7034944	-
Chr1	15674413	15674555	-
Chr1	12877159	12877301	-
Chr1	8114685	8116894	+
Chr1	6454531	6454676	+
Chr1	18747138	18747283	+
Chr1	15761281	15761331	-
Chr1	24752624	24752757	+
Chr1	23065703	23065848	+
Chr1	11634521	11634652	+
Chr1	19901340	19901482	-
Chr1	20090228	20090251	+
Chr1	1251630	1251772	-
Chr1	726695	726837	-
Chr1	19700965	19701109	+
Chr1	20322182	20322322	-
Chr1	17547728	17547872	+
Chr1	17239521	17239651	+
Chr1	24918427	24918569	-
Chr1	17544483	17544627	+
Chr1	14139734	14139876	+
Chr1	1976073	1976109	-
Chr1	9582394	9582442	+
Chr1	21990870	21990894	-
Chr1	19288860	19288998	-
Chr1	12888717	12888779	-
Chr1	7224970	7225108	-
Chr1	22953881	22954021	+
Chr1	25811309	25811447	-
Chr1	13636666	13636804	-
Chr1	16156865	16156897	+
Chr1	17477615	17477755	+
Chr1	11692896	11693034	-
Chr1	11692362	11692500	-
Chr1	22888530	22888670	+
Chr1	6273768	6273906	-
Chr1	587269	587326	+
Chr1	18766873	18766901	-
Chr1	10524540	10524678	-
Chr1	16760358	16760497	+
Chr1	17687585	17687723	-
Chr1	5436579	5436720	+
Chr1	24553446	24553577	+
Chr1	21659915	21660054	-
Chr1	15068999	15069139	-
Chr1	18766902	18767011	+
Chr1	9863024	9863166	+
Chr1	17116653	17116793	+
Chr1	23947053	23947192	-
Chr1	25344309	25344450	+
Chr1	4872080	4872219	-
Chr1	18816393	18816504	-
Chr1	29180155	29180294	+
Chr1	12346862	12347001	-
Chr1	27498796	27498935	-
Chr1	21957836	21957975	-
Chr1	13351631	13351770	-
Chr1	13493209	13493350	+
Chr1	13879891	13880023	-
Chr1	12525450	12525577	+
Chr1	14187335	14187468	+
Chr1	19000899	19000931	+
Chr1	15939330	15941469	+
Chr1	12990932	12991052	+
Chr1	9412334	9412459	+
Chr1	29244719	29244808	-
Chr1	19945688	19945811	-
Chr1	16182986	16183109	-
Chr1	12975610	12975733	-
Chr1	9188639	9188764	+
Chr1	15926757	15926879	-
Chr1	15642237	15642279	+
Chr1	15420827	15420951	+
Chr1	15123084	15123199	-
Chr1	16699413	16701967	+
Chr1	5657195	5657320	+
Chr1	16264843	16264968	+
Chr1	14341671	14341711	+
Chr1	17823604	17823728	-
Chr1	21929379	21929504	-
Chr1	16115818	16115943	-
Chr1	24286883	24287008	-
Chr1	13245270	13247416	+
Chr1	14463536	14463664	+
Chr1	22829373	22829400	+
Chr1	11479601	11479728	+
Chr1	12524947	12525074	+
Chr1	16595104	16595133	-
Chr1	13238343	13238467	-
Chr1	26394244	26394371	+
Chr1	15918026	15918148	-
Chr1	17525127	17525254	+
Chr1	21788068	21788193	-
Chr1	17188286	17188413	+
Chr1	13193026	13193066	+
Chr1	15113100	15113215	-
Chr1	11578166	11578290	+
